drug,author,herb_part,bot_name,disease_category,taste,potency,ultimate_taste,inherent_action
Kandathi legyam ,Agathiyar,,Piper Cubeba,Tuberculosis ,"Pungent, viruvirupu",Hot,Spicy ,"veppamundaki,agatuvaiagatri,siruneerperuki,kolaiyagatri"
Muyal Kirutham ,Agathiyar,,Justicia beddomei,Diabetes,Bitter,Hot,Spicy ,"Esivagatri,Kollaiyagatri,Nutpulukolli,Siruneerperuki"
Muyal Kirutham ,Agathiyar,"head,leg, intestine",Muyal ,Diabetes,null,null,null,null
Muyal Kirutham ,Agathiyar,,Glycyrrhiza glabra,Diabetes,Sweet ,Cold ,Sweet,"Varatchiyakatri,Ullalagatri,kollaiyagatri,Malamilaki,Uramaki"
Muyal Kirutham ,Agathiyar,,Alternanthera sessilis,Diabetes,sweet,Cold ,Sweet,"udarthetri,kulirchiundaki"
Muyal Kirutham ,Agathiyar,,Costus speciosus,Diabetes,"Bitter , Viruvirupu",Hot,Spicy ,"Pasitheethundi,Kollaiyagatri,Uramaki,Vepammundaki,Viyarvaiperuki"
Muyal Kirutham ,Agathiyar,,Elettaria cardamomum,Diabetes,Pungent,Hot,Spicy ,"Vepamundaki,Agatuvaiyagatri,Pasitheethundi"
Muyal Kirutham ,Agathiyar,,Syzygium aromaticum,Diabetes,"pungent , Viruvirupu",Hot,Spicy ,"Esivagatri,Agatuvaiyagatri,Pasitheethundi"
Muyal Kirutham ,Agathiyar,,Terminalia chebula,Diabetes,Astringent,Hot,Sweet,null
Muyal Kirutham ,Agathiyar,,Carum copticum,Diabetes,Pungent,Hot,Spicy ,"Pasithithundi,Esivagatri,Agatuvaiyagatri,Alugalagatri,Vepammundaki,Uramaki,Umilneerperuki"
Muyal Kirutham ,Agathiyar,,Cuminum cyminum,Diabetes,"Pungent , Sweet",Cold ,Sweet,"Agatuvaiyagatri,Vepammundaki,Pasitheethundi,Thuvarpi"
Muyal Kirutham ,Agathiyar,,Cinnamomum verum,Diabetes,"pungent , Sweet",Cold ,Sweet,"Vepamundaki,Agatuvaiyagatri,Kamaperuki"
Muyal Kirutham ,Agathiyar,,Saccharum officinarum,Diabetes,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Muyal Kirutham ,Agathiyar,,Myristica fragrans,Diabetes,"Astringent , Pungent",Hot,Spicy ,"Vekkammundaki,Agatuvaiyagatri,Moorchaiyundaki,Manamooti,Kaamaperuki,Uramaki"
Muyal Kirutham ,Agathiyar,,Allium sativum,Diabetes,Pungent,Hot,Spicy ,"agatuvaiagatri,pasithithundi,uramaki,udarthetri,veppamundaki,kolaiyagatri,siruneerperuki,pulukoli"
Muyal Kirutham ,Agathiyar,,Cocos nucifera,Diabetes,null,null,null,null
Muyal Kirutham ,Agathiyar,ilaneer,milk ,Diabetes,null,null,null,null
Muyal Kirutham ,Agathiyar,,Ghee,Diabetes,null,null,null,null
Muyal Kirutham ,Agathiyar,,Amaranthus,Diabetes,null,null,null,null
Ilaippu nei ,Agathiyar,,Eclipta prostrata,Tuberculosis ,Bitter,Hot,Spicy ,"Pithannerperuki,Uramaki,Udalthetri,Vanthiyundaki,Neermalampoki,Veekamuruki,Eralthetri"
Ilaippu nei ,Agathiyar,,Clerodendrum inerme,Tuberculosis ,Bitter,Hot,Spicy ,"Udalthetri,Vepagatri,Uramaki"
Ilaippu nei ,Agathiyar,,Tephrosia spinosa,Tuberculosis ,null,null,null,null
Ilaippu nei ,Agathiyar,,Vitex negundo,Tuberculosis ,"Bitter, Astringent, Pungent",Hot,Spicy ,"Pothuseigai-udarthetri,puluvagatri(kudal)"
Ilaippu nei ,Agathiyar,,Aegle marmelos,Tuberculosis ,"Astringent, Bitter ",Cold ,Spicy ,"viyarvaiperuki,kamamperuki,veppagatri"
Ilaippu nei ,Agathiyar,,Justicia beddomei,Tuberculosis ,Bitter,Hot,Spicy ,"Esivagatri,Kollaiyagatri,Nutpulukolli,Siruneerperuki"
Ilaippu nei ,Agathiyar,,Solanum trilobatum,Tuberculosis ,"mildBitter, Pungent",Hot,Spicy ,"veppamundaki,kolaiagatri,uramaki"
Ilaippu nei ,Agathiyar,Flower,Withania somnifera,Tuberculosis ,Bitter,Hot,Spicy ,vepagatri
panchalavan kuligai ,Agathiyar,,Alangium salvifolium,Tuberculosis ,Bitter,Hot,Spicy ,"Udalthetri,Pulukolli,Siruneerperuki,Vanthiyundaki,Vepagatri,Malamilaki,Kumatalelupi"
panchalavan kuligai ,Agathiyar,,Plumbago zeylanica,Tuberculosis ,"Kasapu , virivirupu",Hot,Spicy ,"Muraivepagatri,Viyarvaiperuki"
panchalavan kuligai ,Agathiyar,,Tacca pinnatifida,Tuberculosis ,Karakarapu,Hot,Spicy ,"Pasitheethundi,Thadipundaki"
panchalavan kuligai ,Agathiyar,,Cissus quadrangularis,Tuberculosis ,Pungent ,Hot,Spicy ,"udarthetri,ruthuundaki,pasithithundi"
panchalavan kuligai ,Agathiyar,,Carum copticum,Tuberculosis ,Pungent,Hot,Spicy ,"Pasithithundi,Esivagatri,Agatuvaiyagatri,Alugalagatri,Vepammundaki,Uramaki,Umilneerperuki"
panchalavan kuligai ,Agathiyar,,Cuminum cyminum,Tuberculosis ,"Pungent , Sweet",Cold ,Sweet,"Agatuvaiyagatri,Vepammundaki,Pasitheethundi,Thuvarpi"
panchalavan kuligai ,Agathiyar,,Ferula asafoetida,Tuberculosis ,"Bitter, karakarapu",Hot,Spicy ,"veppamundaki,agatuvaiagatri,isivagatri,kolaiyagatri,malamilaki,pulukoli,siruneerperuki,kamamperuki,ruthuundaki"
panchalavan kuligai ,Agathiyar,,Croton tiglium,Tuberculosis ,Bitter,Hot,Spicy ,"neermalampoki,thadipundaki"
panchalavan kuligai ,Agathiyar,,Embelia ribes,Tuberculosis ,Bitter,Hot,Spicy ,"pulukolli,agatuvaiagatri,pasithithundi,veppamundaki"
panchalavan kuligai ,Agathiyar,,Terminalia chebula,Tuberculosis ,Astringent,Hot,Sweet,null
panchalavan kuligai ,Agathiyar,,Phyllanthus emblica,Tuberculosis ,"Sour, Astringent, sweet",Cold ,Sweet,null
panchalavan kuligai ,Agathiyar,,Terminalia bellirica ,Tuberculosis ,Astringent,Hot,Sweet,"Thuvarpi,kolaiagatri,malamilaki,uramaki"
